Asso name,Distribution name,Addresse ligne 1,Transports,Address ligne 2,Postal Code,City,Country,Start time,End time,Lu,Ma,Me,Je,Ve,Sa,Di
Restos du cœur,Camions des Restos du cœur,Place de Budapest,Saint Lazare,,75009,Paris,France,20:00,21:30,Y,,Y,,Y,,
Restos du cœur,Camions des Restos du cœur,"42, cours de Vincennes",Nation,,75012,Paris,France,20:00,21:30,Y,,Y,,Y,,
Restos du cœur,Camions des Restos du cœur,Square André Talet,République,,75011,Paris,France,20:00,21:30,,Y,,Y,,Y,
Restos du cœur,Camions des Restos du cœur,Avenue de Verdun,Gare de l'Est,,75010,Paris,France,19:30,21:00,,,,,,,Y
L'Armée du Salut,,"12, rue Philippe-de-Girard","M° Château-Landon, La-Chapelle, Louis-Blanc ou Stalingrad",,75010,Paris,France,19:00,21:00,Y,Y,Y,Y,Y,Y,Y
La Chorba,,"7-15, bv de la Villette",Métro : Porte-de-la-Villette – L7,,75019,Paris,France,19:00,20:45,Y,Y,Y,,Y,Y,Y
Mairie de Paris,Le Cœur de Paris,26 Boulevard de Ménilmontant,Entrée principale du cimetière Père Lachaise,,75020,Paris,France,19:30,21:30,Y,Y,Y,Y,Y,Y,Y
Les petites sœurs des pauvres,,"71, rue de Picpus",Métro : Picpus – L6,,75012,Paris,France,8:00,9:30,,,Y,Y,Y,Y,
Meaux,,"72, rue de Meaux",Métro Laumière,,75019,Paris,France,17:15,19:15,Y,Y,Y,Y,Y,Y,
Mission Évangélique Parmi Les Sans-Logis,,"22, rue Sainte-Marthe",M° Belleville ou Goncourt,,75010,Paris,France,9:30,10:30,,Y,Y,Y,Y,,
Mission Évangélique Parmi Les Sans-Logis,,"22, rue Sainte-Marthe",M° Belleville ou Goncourt,,75010,Paris,France,17:00,18:00,,Y,Y,Y,Y,,
Equipe Saint Vincent-Saint-Christophe de Javel,,"12, rue Léontine",M° Javel,,75015,Paris,France,11:00,12:30,Y,Y,Y,,Y,Y,